Region,Infrastructure,ResidenceCountry,Date,Arrivals,Attendance
Abruzzo,HOTELLIKE,Altri,2008-01-01,102.0,267.0
Abruzzo,HOTELLIKE,"Altri Paesi del medio oriente (Arabia Saudita, Barhein, Emirati Arabi Uniti, Giordania, Irak, Iran, Kuwait, Oman, Quatar, Siria, Yemen)",2008-01-01,25.0,93.0
Abruzzo,HOTELLIKE,Altri Paesi dell'Asia,2008-01-01,49.0,155.0
Abruzzo,HOTELLIKE,Altri paesi africani,2008-01-01,23.0,80.0
Abruzzo,HOTELLIKE,Altri paesi europei,2008-01-01,144.0,548.0
Abruzzo,HOTELLIKE,Argentina,2008-01-01,26.0,79.0
Abruzzo,HOTELLIKE,Australia,2008-01-01,115.0,324.0
Abruzzo,HOTELLIKE,Austria,2008-01-01,100.0,333.0
Abruzzo,HOTELLIKE,Belgio,2008-01-01,109.0,439.0
Abruzzo,HOTELLIKE,Brasile,2008-01-01,104.0,286.0
Abruzzo,HOTELLIKE,Bulgaria,2008-01-01,20.0,77.0
Abruzzo,HOTELLIKE,Canada,2008-01-01,38.0,135.0
Abruzzo,HOTELLIKE,"Ceca, Repubblica",2008-01-01,65.0,320.0
Abruzzo,HOTELLIKE,Cina,2008-01-01,132.0,259.0
Abruzzo,HOTELLIKE,Cipro,2008-01-01,4.0,11.0
Abruzzo,HOTELLIKE,Corea del sud,2008-01-01,82.0,147.0
Abruzzo,HOTELLIKE,Croazia,2008-01-01,83.0,456.0
Abruzzo,HOTELLIKE,Danimarca,2008-01-01,43.0,191.0
Abruzzo,HOTELLIKE,Egitto,2008-01-01,8.0,30.0
Abruzzo,HOTELLIKE,Estonia,2008-01-01,4.0,12.0
Abruzzo,HOTELLIKE,Finlandia,2008-01-01,28.0,102.0
Abruzzo,HOTELLIKE,Francia,2008-01-01,341.0,942.0
Abruzzo,HOTELLIKE,Germania,2008-01-01,809.0,4171.0
Abruzzo,HOTELLIKE,Giappone,2008-01-01,322.0,641.0
Abruzzo,HOTELLIKE,Grecia,2008-01-01,73.0,228.0
Abruzzo,HOTELLIKE,India,2008-01-01,16.0,54.0
Abruzzo,HOTELLIKE,Irlanda,2008-01-01,52.0,223.0
Abruzzo,HOTELLIKE,Islanda,2008-01-01,6.0,30.0
Abruzzo,HOTELLIKE,Israele,2008-01-01,32.0,107.0
Abruzzo,HOTELLIKE,Italia,2008-01-01,9185.0,28125.0
Abruzzo,HOTELLIKE,Lettonia,2008-01-01,9.0,47.0
Abruzzo,HOTELLIKE,Lituania,2008-01-01,12.0,40.0
Abruzzo,HOTELLIKE,Lussemburgo,2008-01-01,5.0,26.0
Abruzzo,HOTELLIKE,Malta,2008-01-01,8.0,27.0
Abruzzo,HOTELLIKE,Messico,2008-01-01,20.0,54.0
Abruzzo,HOTELLIKE,Norvegia,2008-01-01,32.0,110.0
Abruzzo,HOTELLIKE,Nuova Zelanda,2008-01-01,11.0,30.0
Abruzzo,HOTELLIKE,Paesi Bassi,2008-01-01,106.0,410.0
Abruzzo,HOTELLIKE,"Paesi dell'Africa mediterranea (Libia, Tunisia, Algeria, Marocco)",2008-01-01,23.0,85.0
Abruzzo,HOTELLIKE,Paesi esteri,2008-01-01,5084.0,18815.0
Abruzzo,HOTELLIKE,Polonia,2008-01-01,152.0,863.0
Abruzzo,HOTELLIKE,Portogallo,2008-01-01,35.0,115.0
Abruzzo,HOTELLIKE,Regno unito,2008-01-01,400.0,1498.0
Abruzzo,HOTELLIKE,Romania,2008-01-01,82.0,337.0
Abruzzo,HOTELLIKE,Russia,2008-01-01,259.0,1081.0
Abruzzo,HOTELLIKE,Slovacchia,2008-01-01,13.0,61.0
Abruzzo,HOTELLIKE,Slovenia,2008-01-01,38.0,183.0
Abruzzo,HOTELLIKE,Spagna,2008-01-01,267.0,819.0
Abruzzo,HOTELLIKE,Stati Uniti,2008-01-01,367.0,1182.0
Abruzzo,HOTELLIKE,Sud Africa,2008-01-01,11.0,60.0
Abruzzo,HOTELLIKE,Svezia,2008-01-01,53.0,220.0
Abruzzo,HOTELLIKE,Turchia,2008-01-01,37.0,117.0
Abruzzo,HOTELLIKE,Ungheria,2008-01-01,49.0,216.0
Abruzzo,HOTELLIKE,Venezuela,2008-01-01,10.0,31.0
Abruzzo,OTHER,Altri,2008-01-01,8.0,41.0
Abruzzo,OTHER,"Altri Paesi del medio oriente (Arabia Saudita, Barhein, Emirati Arabi Uniti, Giordania, Irak, Iran, Kuwait, Oman, Quatar, Siria, Yemen)",2008-01-01,1.0,14.0
Abruzzo,OTHER,Altri Paesi dell'Asia,2008-01-01,3.0,15.0
Abruzzo,OTHER,Altri paesi africani,2008-01-01,2.0,21.0
Abruzzo,OTHER,Altri paesi europei,2008-01-01,11.0,119.0
Abruzzo,OTHER,Argentina,2008-01-01,5.0,14.0
Abruzzo,OTHER,Australia,2008-01-01,15.0,61.0
Abruzzo,OTHER,Austria,2008-01-01,9.0,44.0
Abruzzo,OTHER,Belgio,2008-01-01,6.0,32.0
Abruzzo,OTHER,Brasile,2008-01-01,10.0,39.0
Abruzzo,OTHER,Bulgaria,2008-01-01,2.0,12.0
Abruzzo,OTHER,Canada,2008-01-01,4.0,22.0
Abruzzo,OTHER,"Ceca, Repubblica",2008-01-01,19.0,107.0
