Territorio,TIPO_ALLOGGIO2,Paese di residenza dei clienti,TIME,arrivi,presenze
Abruzzo,ALL,Paesi esteri,2008-01-01,5548,21724
Italia,ALL,Paesi esteri,2008-01-01,1595913,5875297
Abruzzo,ALL,Paesi esteri,2008-02-01,7245,28281
Italia,ALL,Paesi esteri,2008-02-01,2004381,7288219
Abruzzo,ALL,Paesi esteri,2008-03-01,8108,27915
Italia,ALL,Paesi esteri,2008-03-01,2951553,9799578
Abruzzo,ALL,Paesi esteri,2008-04-01,11212,37025
Italia,ALL,Paesi esteri,2008-04-01,3216183,9704688
Abruzzo,ALL,Paesi esteri,2008-05-01,21989,92553
Italia,ALL,Paesi esteri,2008-05-01,4769722,16341356
Abruzzo,ALL,Paesi esteri,2008-06-01,24722,133465
Italia,ALL,Paesi esteri,2008-06-01,4591902,17587086
Abruzzo,ALL,Paesi esteri,2008-07-01,38997,272392
Italia,ALL,Paesi esteri,2008-07-01,5930218,29175148
Abruzzo,ALL,Paesi esteri,2008-08-01,27915,190609
Italia,ALL,Paesi esteri,2008-08-01,5350442,25172920
Abruzzo,ALL,Paesi esteri,2008-09-01,22186,125592
Italia,ALL,Paesi esteri,2008-09-01,4847426,19810724
Abruzzo,ALL,Paesi esteri,2008-10-01,12768,45507
Italia,ALL,Paesi esteri,2008-10-01,3489641,11497697
Abruzzo,ALL,Paesi esteri,2008-11-01,6713,24900
Italia,ALL,Paesi esteri,2008-11-01,1622084,4790082
Abruzzo,ALL,Paesi esteri,2008-12-01,5484,20680
Italia,ALL,Paesi esteri,2008-12-01,1427259,4754639
Abruzzo,ALL,Paesi esteri,2009-01-01,4711,18933
Italia,ALL,Paesi esteri,2009-01-01,1549978,5752082
Abruzzo,ALL,Paesi esteri,2009-02-01,4945,18447
Italia,ALL,Paesi esteri,2009-02-01,1847777,6873260
Abruzzo,ALL,Paesi esteri,2009-03-01,5925,22004
Italia,ALL,Paesi esteri,2009-03-01,2311089,7628235
Abruzzo,ALL,Paesi esteri,2009-04-01,7615,26891
Italia,ALL,Paesi esteri,2009-04-01,3427926,10859766
Abruzzo,ALL,Paesi esteri,2009-05-01,13948,56973
Italia,ALL,Paesi esteri,2009-05-01,4350532,14212409
Abruzzo,ALL,Paesi esteri,2009-06-01,19814,120357
Italia,ALL,Paesi esteri,2009-06-01,4550763,18583290
Abruzzo,ALL,Paesi esteri,2009-07-01,29217,206375
Italia,ALL,Paesi esteri,2009-07-01,5999019,28412276
Abruzzo,ALL,Paesi esteri,2009-08-01,23418,153595
Italia,ALL,Paesi esteri,2009-08-01,5609464,26350622
Abruzzo,ALL,Paesi esteri,2009-09-01,18147,108911
Italia,ALL,Paesi esteri,2009-09-01,4895352,20071518
Abruzzo,ALL,Paesi esteri,2009-10-01,9931,47545
Italia,ALL,Paesi esteri,2009-10-01,3554576,11508928
Abruzzo,ALL,Paesi esteri,2009-11-01,6192,28823
Italia,ALL,Paesi esteri,2009-11-01,1586333,4600557
Abruzzo,ALL,Paesi esteri,2009-12-01,4785,22964
Italia,ALL,Paesi esteri,2009-12-01,1441913,4640923
Abruzzo,ALL,Paesi esteri,2010-01-01,4488,22293
Italia,ALL,Paesi esteri,2010-01-01,1549517,5512253
Abruzzo,ALL,Paesi esteri,2010-02-01,5060,21233
Italia,ALL,Paesi esteri,2010-02-01,1903122,6851268
Abruzzo,ALL,Paesi esteri,2010-03-01,7256,27509
Italia,ALL,Paesi esteri,2010-03-01,2535534,8407368
Abruzzo,ALL,Paesi esteri,2010-04-01,8149,30064
Italia,ALL,Paesi esteri,2010-04-01,3362599,10256876
Abruzzo,ALL,Paesi esteri,2010-05-01,18651,76142
Italia,ALL,Paesi esteri,2010-05-01,4872456,16078186
Abruzzo,ALL,Paesi esteri,2010-06-01,20226,111010
Italia,ALL,Paesi esteri,2010-06-01,4786315,18466275
Abruzzo,ALL,Paesi esteri,2010-07-01,36443,235692
