Territorio,TIPO_ALLOGGIO2,Paese di residenza dei clienti,TIME,arrivi,presenze
Abruzzo,HOTELLIKE,Italia,2008-01-01,88624,257703
Abruzzo,HOTELLIKE,Paesi esteri,2008-01-01,5346,19124
Abruzzo,OTHER,Italia,2008-01-01,5701,20039
Abruzzo,OTHER,Paesi esteri,2008-01-01,202,2600
Chieti,HOTELLIKE,Italia,2008-01-01,13790,37455
Chieti,HOTELLIKE,Paesi esteri,2008-01-01,1218,4128
Chieti,OTHER,Italia,2008-01-01,839,4391
Chieti,OTHER,Paesi esteri,2008-01-01,77,1302
L'Aquila,HOTELLIKE,Italia,2008-01-01,49457,153008
L'Aquila,HOTELLIKE,Paesi esteri,2008-01-01,1202,3745
L'Aquila,OTHER,Italia,2008-01-01,4366,13855
L'Aquila,OTHER,Paesi esteri,2008-01-01,85,486
Pescara,HOTELLIKE,Italia,2008-01-01,15051,35058
Pescara,HOTELLIKE,Paesi esteri,2008-01-01,1975,7002
Pescara,OTHER,Italia,2008-01-01,310,1185
Pescara,OTHER,Paesi esteri,2008-01-01,27,733
Teramo,HOTELLIKE,Italia,2008-01-01,10326,32182
Teramo,HOTELLIKE,Paesi esteri,2008-01-01,951,4249
Teramo,OTHER,Italia,2008-01-01,186,608
Teramo,OTHER,Paesi esteri,2008-01-01,13,79
Abruzzo,HOTELLIKE,Italia,2008-02-01,100147,269014
Abruzzo,HOTELLIKE,Paesi esteri,2008-02-01,6621,24546
Abruzzo,OTHER,Italia,2008-02-01,5870,18133
Abruzzo,OTHER,Paesi esteri,2008-02-01,624,3735
Chieti,HOTELLIKE,Italia,2008-02-01,14343,37685
Chieti,HOTELLIKE,Paesi esteri,2008-02-01,1417,5090
Chieti,OTHER,Italia,2008-02-01,877,4437
Chieti,OTHER,Paesi esteri,2008-02-01,38,1079
L'Aquila,HOTELLIKE,Italia,2008-02-01,56456,160372
L'Aquila,HOTELLIKE,Paesi esteri,2008-02-01,1644,5523
L'Aquila,OTHER,Italia,2008-02-01,4444,11614
