2008-01-01,esercizi alberghieri,Italia,88624,257703
2008-01-01,esercizi alberghieri,Paesi esteri,5346,19124
2008-01-01,esercizi extra-alberghieri,Italia,5701,20039
2008-01-01,esercizi extra-alberghieri,Paesi esteri,202,2600
2008-02-01,esercizi alberghieri,Italia,100147,269014
2008-02-01,esercizi alberghieri,Paesi esteri,6621,24546
2008-02-01,esercizi extra-alberghieri,Italia,5870,18133
2008-02-01,esercizi extra-alberghieri,Paesi esteri,624,3735
2008-03-01,esercizi alberghieri,Italia,84219,221282
2008-03-01,esercizi alberghieri,Paesi esteri,7601,24421
2008-03-01,esercizi extra-alberghieri,Italia,6258,18576
2008-03-01,esercizi extra-alberghieri,Paesi esteri,507,3494
2008-04-01,esercizi alberghieri,Italia,72917,162002
2008-04-01,esercizi alberghieri,Paesi esteri,9962,30923
2008-04-01,esercizi extra-alberghieri,Italia,6097,17485
2008-04-01,esercizi extra-alberghieri,Paesi esteri,1250,6102
2008-05-01,esercizi alberghieri,Italia,87828,202270
2008-05-01,esercizi alberghieri,Paesi esteri,17054,58693
2008-05-01,esercizi extra-alberghieri,Italia,14443,49483
2008-05-01,esercizi extra-alberghieri,Paesi esteri,4935,33860
2008-06-01,esercizi alberghieri,Italia,128627,557384
2008-06-01,esercizi alberghieri,Paesi esteri,18081,84015
2008-06-01,esercizi extra-alberghieri,Italia,35350,298905
2008-06-01,esercizi extra-alberghieri,Paesi esteri,6641,49450
2008-07-01,esercizi alberghieri,Italia,156239,911178
2008-07-01,esercizi alberghieri,Paesi esteri,26349,147386
2008-07-01,esercizi extra-alberghieri,Italia,50557,598897
2008-07-01,esercizi extra-alberghieri,Paesi esteri,12648,125006
2008-08-01,esercizi alberghieri,Italia,200205,1087073
2008-08-01,esercizi alberghieri,Paesi esteri,17950,95698
2008-08-01,esercizi extra-alberghieri,Italia,79785,867175
2008-08-01,esercizi extra-alberghieri,Paesi esteri,9965,94911
2008-09-01,esercizi alberghieri,Italia,90428,341554
2008-09-01,esercizi alberghieri,Paesi esteri,17933,81573
2008-09-01,esercizi extra-alberghieri,Italia,9531,120815
2008-09-01,esercizi extra-alberghieri,Paesi esteri,4253,44019
2008-10-01,esercizi alberghieri,Italia,60564,146399
2008-10-01,esercizi alberghieri,Paesi esteri,11232,35943
2008-10-01,esercizi extra-alberghieri,Italia,3893,16076
2008-10-01,esercizi extra-alberghieri,Paesi esteri,1536,9564
2008-11-01,esercizi alberghieri,Italia,54828,127905
2008-11-01,esercizi alberghieri,Paesi esteri,6501,22823
2008-11-01,esercizi extra-alberghieri,Italia,3044,11885
2008-11-01,esercizi extra-alberghieri,Paesi esteri,212,2077
2008-12-01,esercizi alberghieri,Italia,80800,195891
2008-12-01,esercizi alberghieri,Paesi esteri,5106,18067
2008-12-01,esercizi extra-alberghieri,Italia,7507,22709
2008-12-01,esercizi extra-alberghieri,Paesi esteri,378,2613
2009-01-01,esercizi alberghieri,Italia,91843,264923
2009-01-01,esercizi alberghieri,Paesi esteri,4467,17101
2009-01-01,esercizi extra-alberghieri,Italia,6919,27012
2009-01-01,esercizi extra-alberghieri,Paesi esteri,244,1832
2009-02-01,esercizi alberghieri,Italia,92243,249888
2009-02-01,esercizi alberghieri,Paesi esteri,4637,16522
2009-02-01,esercizi extra-alberghieri,Italia,6618,20417
2009-02-01,esercizi extra-alberghieri,Paesi esteri,308,1925
2009-03-01,esercizi alberghieri,Italia,74754,206084
2009-03-01,esercizi alberghieri,Paesi esteri,5658,20201
2009-03-01,esercizi extra-alberghieri,Italia,4875,17433
2009-03-01,esercizi extra-alberghieri,Paesi esteri,267,1803
2009-04-01,esercizi alberghieri,Italia,47021,143484
2009-04-01,esercizi alberghieri,Paesi esteri,6786,23713
2009-04-01,esercizi extra-alberghieri,Italia,3781,16289
2009-04-01,esercizi extra-alberghieri,Paesi esteri,829,3178
2009-05-01,esercizi alberghieri,Italia,63356,193703
2009-05-01,esercizi alberghieri,Paesi esteri,10583,39165
2009-05-01,esercizi extra-alberghieri,Italia,10757,41573
2009-05-01,esercizi extra-alberghieri,Paesi esteri,3365,17808
2009-06-01,esercizi alberghieri,Italia,91634,423060
2009-06-01,esercizi alberghieri,Paesi esteri,14867,81450
2009-06-01,esercizi extra-alberghieri,Italia,26226,217425
2009-06-01,esercizi extra-alberghieri,Paesi esteri,4947,38907
2009-07-01,esercizi alberghieri,Italia,122812,718764
2009-07-01,esercizi alberghieri,Paesi esteri,19603,118979
2009-07-01,esercizi extra-alberghieri,Italia,40881,465843
2009-07-01,esercizi extra-alberghieri,Paesi esteri,9614,87396
2009-08-01,esercizi alberghieri,Italia,162101,892086
2009-08-01,esercizi alberghieri,Paesi esteri,15122,81391
2009-08-01,esercizi extra-alberghieri,Italia,67257,737960
2009-08-01,esercizi extra-alberghieri,Paesi esteri,8296,72204
2009-09-01,esercizi alberghieri,Italia,76606,368819
2009-09-01,esercizi alberghieri,Paesi esteri,14173,70350
2009-09-01,esercizi extra-alberghieri,Italia,10800,110730
2009-09-01,esercizi extra-alberghieri,Paesi esteri,3974,38561
2009-10-01,esercizi alberghieri,Italia,56304,219220
2009-10-01,esercizi alberghieri,Paesi esteri,8715,38011
2009-10-01,esercizi extra-alberghieri,Italia,4380,24649
2009-10-01,esercizi extra-alberghieri,Paesi esteri,1216,9534
2009-11-01,esercizi alberghieri,Italia,50006,186634
2009-11-01,esercizi alberghieri,Paesi esteri,5947,26160
2009-11-01,esercizi extra-alberghieri,Italia,3082,21156
2009-11-01,esercizi extra-alberghieri,Paesi esteri,245,2663
2009-12-01,esercizi alberghieri,Italia,70644,228402
2009-12-01,esercizi alberghieri,Paesi esteri,4501,20567
2009-12-01,esercizi extra-alberghieri,Italia,6411,26555
2009-12-01,esercizi extra-alberghieri,Paesi esteri,284,2397
2010-01-01,esercizi alberghieri,Italia,76125,264954
2010-01-01,esercizi alberghieri,Paesi esteri,4173,20589
2010-01-01,esercizi extra-alberghieri,Italia,6079,28102
2010-01-01,esercizi extra-alberghieri,Paesi esteri,315,1704
2010-02-01,esercizi alberghieri,Italia,87620,264688
2010-02-01,esercizi alberghieri,Paesi esteri,4786,19649
2010-02-01,esercizi extra-alberghieri,Italia,6257,25515
2010-02-01,esercizi extra-alberghieri,Paesi esteri,274,1584
2010-03-01,esercizi alberghieri,Italia,70727,209536
2010-03-01,esercizi alberghieri,Paesi esteri,6811,25207
2010-03-01,esercizi extra-alberghieri,Italia,4976,22790
2010-03-01,esercizi extra-alberghieri,Paesi esteri,445,2302
2010-04-01,esercizi alberghieri,Italia,66036,182358
2010-04-01,esercizi alberghieri,Paesi esteri,7348,26515
2010-04-01,esercizi extra-alberghieri,Italia,6951,25678
2010-04-01,esercizi extra-alberghieri,Paesi esteri,801,3549
2010-05-01,esercizi alberghieri,Italia,68236,186302
2010-05-01,esercizi alberghieri,Paesi esteri,14160,49245
2010-05-01,esercizi extra-alberghieri,Italia,9713,46808
2010-05-01,esercizi extra-alberghieri,Paesi esteri,4491,26897
2010-06-01,esercizi alberghieri,Italia,108890,462488
2010-06-01,esercizi alberghieri,Paesi esteri,14894,72632
2010-06-01,esercizi extra-alberghieri,Italia,34012,270863
2010-06-01,esercizi extra-alberghieri,Paesi esteri,5332,38378
2010-07-01,esercizi alberghieri,Italia,161353,887707
2010-07-01,esercizi alberghieri,Paesi esteri,24279,130434
2010-07-01,esercizi extra-alberghieri,Italia,58372,581347
2010-07-01,esercizi extra-alberghieri,Paesi esteri,12164,105258
2010-08-01,esercizi alberghieri,Italia,188987,1090629
2010-08-01,esercizi alberghieri,Paesi esteri,16967,98786
2010-08-01,esercizi extra-alberghieri,Italia,73815,816220
2010-08-01,esercizi extra-alberghieri,Paesi esteri,8707,85789
2010-09-01,esercizi alberghieri,Italia,78494,334012
