2008-01-01,esercizi alberghieri,Italia,15051,35058
2008-01-01,esercizi alberghieri,Paesi esteri,1975,7002
2008-01-01,esercizi extra-alberghieri,Italia,310,1185
2008-01-01,esercizi extra-alberghieri,Paesi esteri,27,733
2008-02-01,esercizi alberghieri,Italia,17267,32406
2008-02-01,esercizi alberghieri,Paesi esteri,2207,7714
2008-02-01,esercizi extra-alberghieri,Italia,240,1336
2008-02-01,esercizi extra-alberghieri,Paesi esteri,56,736
2008-03-01,esercizi alberghieri,Italia,19805,40520
2008-03-01,esercizi alberghieri,Paesi esteri,2632,8103
2008-03-01,esercizi extra-alberghieri,Italia,538,1681
2008-03-01,esercizi extra-alberghieri,Paesi esteri,88,1065
2008-04-01,esercizi alberghieri,Italia,21673,43182
2008-04-01,esercizi alberghieri,Paesi esteri,3067,7771
2008-04-01,esercizi extra-alberghieri,Italia,461,2000
2008-04-01,esercizi extra-alberghieri,Paesi esteri,129,1209
2008-05-01,esercizi alberghieri,Italia,27584,54715
2008-05-01,esercizi alberghieri,Paesi esteri,4232,11420
2008-05-01,esercizi extra-alberghieri,Italia,1042,3018
2008-05-01,esercizi extra-alberghieri,Paesi esteri,292,1765
2008-06-01,esercizi alberghieri,Italia,30205,116229
2008-06-01,esercizi alberghieri,Paesi esteri,4428,15177
2008-06-01,esercizi extra-alberghieri,Italia,1259,5284
2008-06-01,esercizi extra-alberghieri,Paesi esteri,395,3236
2008-07-01,esercizi alberghieri,Italia,31370,155890
2008-07-01,esercizi alberghieri,Paesi esteri,7073,30180
2008-07-01,esercizi extra-alberghieri,Italia,1720,10336
2008-07-01,esercizi extra-alberghieri,Paesi esteri,683,5778
2008-08-01,esercizi alberghieri,Italia,36751,179174
2008-08-01,esercizi alberghieri,Paesi esteri,5208,22085
2008-08-01,esercizi extra-alberghieri,Italia,2892,13656
2008-08-01,esercizi extra-alberghieri,Paesi esteri,527,4933
2008-09-01,esercizi alberghieri,Italia,26053,91820
2008-09-01,esercizi alberghieri,Paesi esteri,4723,15660
2008-09-01,esercizi extra-alberghieri,Italia,828,3473
2008-09-01,esercizi extra-alberghieri,Paesi esteri,268,2658
2008-10-01,esercizi alberghieri,Italia,19730,42750
2008-10-01,esercizi alberghieri,Paesi esteri,4064,11759
2008-10-01,esercizi extra-alberghieri,Italia,650,2689
2008-10-01,esercizi extra-alberghieri,Paesi esteri,218,1831
2008-11-01,esercizi alberghieri,Italia,18756,39856
2008-11-01,esercizi alberghieri,Paesi esteri,2409,8377
2008-11-01,esercizi extra-alberghieri,Italia,604,2368
2008-11-01,esercizi extra-alberghieri,Paesi esteri,38,458
2008-12-01,esercizi alberghieri,Italia,15441,31542
2008-12-01,esercizi alberghieri,Paesi esteri,1752,6685
2008-12-01,esercizi extra-alberghieri,Italia,840,2816
2008-12-01,esercizi extra-alberghieri,Paesi esteri,76,625
2009-01-01,esercizi alberghieri,Italia,14392,31203
2009-01-01,esercizi alberghieri,Paesi esteri,1557,5977
2009-01-01,esercizi extra-alberghieri,Italia,472,2110
2009-01-01,esercizi extra-alberghieri,Paesi esteri,36,392
2009-02-01,esercizi alberghieri,Italia,15510,28094
2009-02-01,esercizi alberghieri,Paesi esteri,1581,5547
2009-02-01,esercizi extra-alberghieri,Italia,479,1802
