ITTER107;Territorio;TIPO_DATO7;Indicatori;CORREZ;Correzione;TIPO_ALLOGGIO2;Tipologia di esercizio;ATECO_2007;Ateco 2007;ISO;Paese di residenza dei clienti;TIME;Seleziona periodo;Value;Flag Codes;Flags
IT;Italia;AR;arrivi ;N;dati grezzi;ALL;totale esercizi ricettivi;551_553;alberghi e strutture simili, alloggi per vacanze e altre strutture per brevi soggiorni, aree di campeggio e aree attrezzate per camper e roulotte;WRL_X_ITA;Paesi esteri;2008-01;gen-08;1595913;;
IT;Italia;AR;arrivi ;N;dati grezzi;ALL;totale esercizi ricettivi;551_553;alberghi e strutture simili, alloggi per vacanze e altre strutture per brevi soggiorni, aree di campeggio e aree attrezzate per camper e roulotte;WRL_X_ITA;Paesi esteri;2008-02;feb-08;2004381;;
IT;Italia;AR;arrivi ;N;dati grezzi;ALL;totale esercizi ricettivi;551_553;alberghi e strutture simili, alloggi per vacanze e altre strutture per brevi soggiorni, aree di campeggio e aree attrezzate per camper e roulotte;WRL_X_ITA;Paesi esteri;2008-03;mar-08;2951553;;
IT;Italia;AR;arrivi ;N;dati grezzi;ALL;totale esercizi ricettivi;551_553;alberghi e strutture simili, alloggi per vacanze e altre strutture per brevi soggiorni, aree di campeggio e aree attrezzate per camper e roulotte;WRL_X_ITA;Paesi esteri;2008-04;apr-08;3216183;;
IT;Italia;AR;arrivi ;N;dati grezzi;ALL;totale esercizi ricettivi;551_553;alberghi e strutture simili, alloggi per vacanze e altre strutture per brevi soggiorni, aree di campeggio e aree attrezzate per camper e roulotte;WRL_X_ITA;Paesi esteri;2008-05;mag-08;4769722;;
IT;Italia;AR;arrivi ;N;dati grezzi;ALL;totale esercizi ricettivi;551_553;alberghi e strutture simili, alloggi per vacanze e altre strutture per brevi soggiorni, aree di campeggio e aree attrezzate per camper e roulotte;WRL_X_ITA;Paesi esteri;2008-06;giu-08;4591902;;
IT;Italia;AR;arrivi ;N;dati grezzi;ALL;totale esercizi ricettivi;551_553;alberghi e strutture simili, alloggi per vacanze e altre strutture per brevi soggiorni, aree di campeggio e aree attrezzate per camper e roulotte;WRL_X_ITA;Paesi esteri;2008-07;lug-08;5930218;;
IT;Italia;AR;arrivi ;N;dati grezzi;ALL;totale esercizi ricettivi;551_553;alberghi e strutture simili, alloggi per vacanze e altre strutture per brevi soggiorni, aree di campeggio e aree attrezzate per camper e roulotte;WRL_X_ITA;Paesi esteri;2008-08;ago-08;5350442;;
IT;Italia;AR;arrivi ;N;dati grezzi;ALL;totale esercizi ricettivi;551_553;alberghi e strutture simili, alloggi per vacanze e altre strutture per brevi soggiorni, aree di campeggio e aree attrezzate per camper e roulotte;WRL_X_ITA;Paesi esteri;2008-09;set-08;4847426;;
IT;Italia;AR;arrivi ;N;dati grezzi;ALL;totale esercizi ricettivi;551_553;alberghi e strutture simili, alloggi per vacanze e altre strutture per brevi soggiorni, aree di campeggio e aree attrezzate per camper e roulotte;WRL_X_ITA;Paesi esteri;2008-10;ott-08;3489641;;
IT;Italia;AR;arrivi ;N;dati grezzi;ALL;totale esercizi ricettivi;551_553;alberghi e strutture simili, alloggi per vacanze e altre strutture per brevi soggiorni, aree di campeggio e aree attrezzate per camper e roulotte;WRL_X_ITA;Paesi esteri;2008-11;nov-08;1622084;;
IT;Italia;AR;arrivi ;N;dati grezzi;ALL;totale esercizi ricettivi;551_553;alberghi e strutture simili, alloggi per vacanze e altre strutture per brevi soggiorni, aree di campeggio e aree attrezzate per camper e roulotte;WRL_X_ITA;Paesi esteri;2008-12;dic-08;1427259;;
IT;Italia;AR;arrivi ;N;dati grezzi;ALL;totale esercizi ricettivi;551_553;alberghi e strutture simili, alloggi per vacanze e altre strutture per brevi soggiorni, aree di campeggio e aree attrezzate per camper e roulotte;WRL_X_ITA;Paesi esteri;2009-01;gen-09;1549978;;
IT;Italia;AR;arrivi ;N;dati grezzi;ALL;totale esercizi ricettivi;551_553;alberghi e strutture simili, alloggi per vacanze e altre strutture per brevi soggiorni, aree di campeggio e aree attrezzate per camper e roulotte;WRL_X_ITA;Paesi esteri;2009-02;feb-09;1847777;;
IT;Italia;AR;arrivi ;N;dati grezzi;ALL;totale esercizi ricettivi;551_553;alberghi e strutture simili, alloggi per vacanze e altre strutture per brevi soggiorni, aree di campeggio e aree attrezzate per camper e roulotte;WRL_X_ITA;Paesi esteri;2009-03;mar-09;2311089;;
IT;Italia;AR;arrivi ;N;dati grezzi;ALL;totale esercizi ricettivi;551_553;alberghi e strutture simili, alloggi per vacanze e altre strutture per brevi soggiorni, aree di campeggio e aree attrezzate per camper e roulotte;WRL_X_ITA;Paesi esteri;2009-04;apr-09;3427926;;
IT;Italia;AR;arrivi ;N;dati grezzi;ALL;totale esercizi ricettivi;551_553;alberghi e strutture simili, alloggi per vacanze e altre strutture per brevi soggiorni, aree di campeggio e aree attrezzate per camper e roulotte;WRL_X_ITA;Paesi esteri;2009-05;mag-09;4350532;;
