Territorio;Indicatori;Tipologia di esercizio;Paese di residenza dei clienti;TIME;Value;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/01/2008;29315;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/02/2008;32928;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/03/2008;40417;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/04/2008;44779;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/05/2008;47401;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/06/2008;43952;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/07/2008;53906;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/08/2008;44120;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/09/2008;43411;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/10/2008;40252;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/11/2008;33789;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/12/2008;32929;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/01/2009;27642;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/02/2009;31490;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/03/2009;35663;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/04/2009;47739;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/05/2009;51813;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/06/2009;54421;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/07/2009;63875;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/08/2009;45400;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/09/2009;52330;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/10/2009;43777;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/11/2009;34632;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/12/2009;31493;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/01/2010;24648;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/02/2010;27502;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/03/2010;32059;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/04/2010;43876;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/05/2010;47237;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/06/2010;50427;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/07/2010;65319;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/08/2010;44619;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/09/2010;50141;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/10/2010;45153;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/11/2010;36543;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/12/2010;31950;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/01/2011;25174;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/02/2011;27241;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/03/2011;36358;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/04/2011;44826;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/05/2011;48520;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/06/2011;54237;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/07/2011;67265;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/08/2011;45938;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/09/2011;59308;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/10/2011;50702;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/11/2011;36055;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/12/2011;34256;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/01/2012;25214;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/02/2012;28446;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/03/2012;29147;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/04/2012;41235;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/05/2012;44520;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/06/2012;53757;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/07/2012;67499;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/08/2012;55250;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/09/2012;47400;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/10/2012;39838;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/11/2012;34891;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/12/2012;31532;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/01/2013;28809;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/02/2013;28055;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/03/2013;32648;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/04/2013;40752;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/05/2013;43107;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/06/2013;45065;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/07/2013;52963;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/08/2013;44250;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/09/2013;45525;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/10/2013;36131;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/11/2013;31804;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/12/2013;27544;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/01/2014;24033;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/02/2014;28443;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/03/2014;31034;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/04/2014;35826;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/05/2014;38156;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/06/2014;42645;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/07/2014;50311;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/08/2014;40482;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/09/2014;35774;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/10/2014;36154;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/11/2014;30890;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/12/2014;29891;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/01/2015;19366;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/02/2015;23810;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/03/2015;26222;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/04/2015;29794;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/05/2015;38779;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/06/2015;37599;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/07/2015;42021;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/08/2015;38037;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/09/2015;42394;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/10/2015;44374;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/11/2015;25500;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/12/2015;23044;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/01/2016;22747;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/02/2016;24026;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/03/2016;28830;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/04/2016;32968;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/05/2016;39136;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/06/2016;37686;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/07/2016;45298;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/08/2016;40246;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/09/2016;43074;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/10/2016;41037;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/11/2016;32781;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/12/2016;31175;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/01/2017;27322;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/02/2017;29559;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/03/2017;37152;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/04/2017;45191;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/05/2017;47263;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/06/2017;49143;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/07/2017;54303;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/08/2017;41476;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/09/2017;50939;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/10/2017;52082;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/11/2017;41636;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/12/2017;40710;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/01/2018;19471;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/02/2018;21539;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/03/2018;27516;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/04/2018;29062;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/05/2018;33745;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/06/2018;30627;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/07/2018;30983;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/08/2018;25691;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/09/2018;28905;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/10/2018;34008;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/11/2018;25080;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/12/2018;25391;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/01/2019;13154;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/02/2019;14676;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/03/2019;22167;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/04/2019;24004;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/05/2019;24686;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/06/2019;24571;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/07/2019;26625;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/08/2019;20491;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/09/2019;24498;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/10/2019;24542;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/11/2019;17907;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/12/2019;17300;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/01/2020;12863;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/02/2020;10443;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/03/2020;1315;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/04/2020;92;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/05/2020;287;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/06/2020;1504;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/07/2020;4525;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/08/2020;7279;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/09/2020;4781;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/10/2020;3084;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/11/2020;936;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/12/2020;995;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/01/2021;949;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/02/2021;1566;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/03/2021;1617;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/04/2021;1721;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/05/2021;2631;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/06/2021;4329;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/07/2021;6929;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/08/2021;7181;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/09/2021;7159;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/10/2021;6198;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/11/2021;3655;;;;;
Italia;arrivi ;esercizi alberghieri;Altri;01/12/2021;3149;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/01/2008;6580;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/02/2008;6429;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/03/2008;6755;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/04/2008;8465;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/05/2008;8756;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/06/2008;9625;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/07/2008;11891;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/08/2008;10026;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/09/2008;8905;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/10/2008;8773;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/11/2008;8549;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/12/2008;7221;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/01/2009;6371;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/02/2009;6064;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/03/2009;7451;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/04/2009;7819;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/05/2009;9653;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/06/2009;9060;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/07/2009;12200;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/08/2009;9826;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/09/2009;9824;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/10/2009;8916;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/11/2009;7442;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/12/2009;6314;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/01/2010;6108;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/02/2010;6030;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/03/2010;7844;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/04/2010;8214;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/05/2010;8694;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/06/2010;9414;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/07/2010;11989;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/08/2010;8511;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/09/2010;9677;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/10/2010;9514;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/11/2010;6865;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/12/2010;7289;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/01/2011;6611;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/02/2011;6489;;;;;
