Territorio,TIPO_ALLOGGIO2,Paese di residenza dei clienti,TIME,arrivi,presenze
Italia,HOTELLIKE,Altri,2008-01-01,29315.0,72028.0
Italia,HOTELLIKE,"Altri Paesi del medio oriente (Arabia Saudita, Barhein, Emirati Arabi Uniti, Giordania, Irak, Iran, Kuwait, Oman, Quatar, Siria, Yemen)",2008-01-01,7125.0,25069.0
Italia,HOTELLIKE,Altri Paesi dell'Asia,2008-01-01,13892.0,41702.0
Italia,HOTELLIKE,Altri paesi africani,2008-01-01,6580.0,21542.0
Italia,HOTELLIKE,Altri paesi europei,2008-01-01,41295.0,148155.0
Italia,HOTELLIKE,Argentina,2008-01-01,7457.0,21317.0
Italia,HOTELLIKE,Australia,2008-01-01,32984.0,87435.0
Italia,HOTELLIKE,Austria,2008-01-01,28660.0,89928.0
Italia,HOTELLIKE,Belgio,2008-01-01,31111.0,118580.0
Italia,HOTELLIKE,Brasile,2008-01-01,29798.0,77170.0
Italia,HOTELLIKE,Bulgaria,2008-01-01,5662.0,20780.0
Italia,HOTELLIKE,Canada,2008-01-01,10838.0,36283.0
Italia,HOTELLIKE,"Ceca, Repubblica",2008-01-01,18595.0,86511.0
Italia,HOTELLIKE,Cina,2008-01-01,37900.0,69986.0
Italia,HOTELLIKE,Cipro,2008-01-01,917.0,2961.0
Italia,HOTELLIKE,Corea del sud,2008-01-01,23550.0,39594.0
Italia,HOTELLIKE,Croazia,2008-01-01,23810.0,123156.0
Italia,HOTELLIKE,Danimarca,2008-01-01,12110.0,51543.0
Italia,HOTELLIKE,Egitto,2008-01-01,2196.0,7891.0
Italia,HOTELLIKE,Estonia,2008-01-01,995.0,3126.0
Italia,HOTELLIKE,Finlandia,2008-01-01,7981.0,27346.0
Italia,HOTELLIKE,Francia,2008-01-01,98059.0,254594.0
Italia,HOTELLIKE,Germania,2008-01-01,232430.0,1127813.0
Italia,HOTELLIKE,Giappone,2008-01-01,92441.0,173151.0
Italia,HOTELLIKE,Grecia,2008-01-01,20961.0,61511.0
Italia,HOTELLIKE,India,2008-01-01,4318.0,14476.0
Italia,HOTELLIKE,Irlanda,2008-01-01,14825.0,60042.0
Italia,HOTELLIKE,Islanda,2008-01-01,1473.0,8035.0
Italia,HOTELLIKE,Israele,2008-01-01,8948.0,28731.0
Italia,HOTELLIKE,Italia,2008-01-01,2641991.0,7606288.0
Italia,HOTELLIKE,Lettonia,2008-01-01,2396.0,12476.0
Italia,HOTELLIKE,Lituania,2008-01-01,3338.0,10731.0
Italia,HOTELLIKE,Lussemburgo,2008-01-01,1418.0,6888.0
Italia,HOTELLIKE,Malta,2008-01-01,2028.0,7056.0
Italia,HOTELLIKE,Messico,2008-01-01,5653.0,14352.0
Italia,HOTELLIKE,Norvegia,2008-01-01,9001.0,29623.0
Italia,HOTELLIKE,Nuova Zelanda,2008-01-01,2938.0,7924.0
Italia,HOTELLIKE,Paesi Bassi,2008-01-01,30360.0,110685.0
Italia,HOTELLIKE,"Paesi dell'Africa mediterranea (Libia, Tunisia, Algeria, Marocco)",2008-01-01,6502.0,22766.0
Italia,HOTELLIKE,Paesi esteri,2008-01-01,1462307.0,5088511.0
Italia,HOTELLIKE,Polonia,2008-01-01,43671.0,233361.0
Italia,HOTELLIKE,Portogallo,2008-01-01,9890.0,30860.0
Italia,HOTELLIKE,Regno unito,2008-01-01,114997.0,404942.0
Italia,HOTELLIKE,Romania,2008-01-01,23401.0,91105.0
Italia,HOTELLIKE,Russia,2008-01-01,74314.0,292321.0
Italia,HOTELLIKE,Slovacchia,2008-01-01,3604.0,16369.0
Italia,HOTELLIKE,Slovenia,2008-01-01,10767.0,49338.0
Italia,HOTELLIKE,Spagna,2008-01-01,76693.0,221396.0
Italia,HOTELLIKE,Stati Uniti,2008-01-01,105294.0,319512.0
Italia,HOTELLIKE,Sud Africa,2008-01-01,3135.0,15998.0
Italia,HOTELLIKE,Svezia,2008-01-01,15154.0,59483.0
Italia,HOTELLIKE,Turchia,2008-01-01,10378.0,31626.0
Italia,HOTELLIKE,Ungheria,2008-01-01,14077.0,58237.0
Italia,HOTELLIKE,Venezuela,2008-01-01,2653.0,8170.0
Italia,OTHER,Altri,2008-01-01,2145.0,10854.0
Italia,OTHER,"Altri Paesi del medio oriente (Arabia Saudita, Barhein, Emirati Arabi Uniti, Giordania, Irak, Iran, Kuwait, Oman, Quatar, Siria, Yemen)",2008-01-01,279.0,3735.0
Italia,OTHER,Altri Paesi dell'Asia,2008-01-01,693.0,3996.0
Italia,OTHER,Altri paesi africani,2008-01-01,383.0,5416.0
Italia,OTHER,Altri paesi europei,2008-01-01,3050.0,31980.0
Italia,OTHER,Argentina,2008-01-01,1236.0,3607.0
Italia,OTHER,Australia,2008-01-01,4314.0,16328.0
Italia,OTHER,Austria,2008-01-01,2436.0,11641.0
Italia,OTHER,Belgio,2008-01-01,1720.0,8422.0
Italia,OTHER,Brasile,2008-01-01,2682.0,10534.0
Italia,OTHER,Bulgaria,2008-01-01,306.0,2986.0
Italia,OTHER,Canada,2008-01-01,995.0,5795.0
Italia,OTHER,"Ceca, Repubblica",2008-01-01,5207.0,28688.0
Italia,OTHER,Cina,2008-01-01,1519.0,5984.0
Italia,OTHER,Cipro,2008-01-01,21.0,73.0
Italia,OTHER,Corea del sud,2008-01-01,1656.0,3725.0
Italia,OTHER,Croazia,2008-01-01,6932.0,48881.0
Italia,OTHER,Danimarca,2008-01-01,1422.0,8299.0
Italia,OTHER,Egitto,2008-01-01,91.0,1887.0
Italia,OTHER,Estonia,2008-01-01,134.0,680.0
Italia,OTHER,Finlandia,2008-01-01,412.0,2674.0
Italia,OTHER,Francia,2008-01-01,7511.0,29447.0
Italia,OTHER,Germania,2008-01-01,24461.0,175779.0
Italia,OTHER,Giappone,2008-01-01,2796.0,9125.0
Italia,OTHER,Grecia,2008-01-01,914.0,4439.0
Italia,OTHER,India,2008-01-01,291.0,2066.0
Italia,OTHER,Irlanda,2008-01-01,1427.0,8385.0
Italia,OTHER,Islanda,2008-01-01,53.0,581.0
Italia,OTHER,Israele,2008-01-01,464.0,2130.0
Italia,OTHER,Italia,2008-01-01,269273.0,1706172.0
Italia,OTHER,Lettonia,2008-01-01,501.0,3077.0
Italia,OTHER,Lituania,2008-01-01,466.0,2886.0
Italia,OTHER,Lussemburgo,2008-01-01,133.0,610.0
Italia,OTHER,Malta,2008-01-01,216.0,1150.0
Italia,OTHER,Messico,2008-01-01,625.0,2336.0
Italia,OTHER,Norvegia,2008-01-01,451.0,2341.0
Italia,OTHER,Nuova Zelanda,2008-01-01,477.0,1725.0
Italia,OTHER,Paesi Bassi,2008-01-01,2633.0,15738.0
Italia,OTHER,"Paesi dell'Africa mediterranea (Libia, Tunisia, Algeria, Marocco)",2008-01-01,373.0,6794.0
Italia,OTHER,Paesi esteri,2008-01-01,133606.0,786786.0
Italia,OTHER,Polonia,2008-01-01,8306.0,57082.0
Italia,OTHER,Portogallo,2008-01-01,700.0,4790.0
Italia,OTHER,Regno unito,2008-01-01,8912.0,45633.0
Italia,OTHER,Romania,2008-01-01,2189.0,29804.0
Italia,OTHER,Russia,2008-01-01,2629.0,15028.0
Italia,OTHER,Slovacchia,2008-01-01,656.0,5423.0
Italia,OTHER,Slovenia,2008-01-01,5314.0,32560.0
Italia,OTHER,Spagna,2008-01-01,5948.0,24965.0
Italia,OTHER,Stati Uniti,2008-01-01,8734.0,37890.0
Italia,OTHER,Sud Africa,2008-01-01,325.0,3332.0
Italia,OTHER,Svezia,2008-01-01,1140.0,6918.0
Italia,OTHER,Turchia,2008-01-01,436.0,1950.0
Italia,OTHER,Ungheria,2008-01-01,3357.0,19441.0
Italia,OTHER,Venezuela,2008-01-01,170.0,1040.0
Italia,HOTELLIKE,Altri,2008-02-01,32928.0,73872.0
Italia,HOTELLIKE,"Altri Paesi del medio oriente (Arabia Saudita, Barhein, Emirati Arabi Uniti, Giordania, Irak, Iran, Kuwait, Oman, Quatar, Siria, Yemen)",2008-02-01,8628.0,30833.0
Italia,HOTELLIKE,Altri Paesi dell'Asia,2008-02-01,17305.0,46726.0
Italia,HOTELLIKE,Altri paesi africani,2008-02-01,6429.0,20045.0
Italia,HOTELLIKE,Altri paesi europei,2008-02-01,42116.0,148802.0
Italia,HOTELLIKE,Argentina,2008-02-01,8001.0,24547.0
Italia,HOTELLIKE,Australia,2008-02-01,13414.0,38856.0
Italia,HOTELLIKE,Austria,2008-02-01,45888.0,153185.0
Italia,HOTELLIKE,Belgio,2008-02-01,54933.0,247711.0
Italia,HOTELLIKE,Brasile,2008-02-01,23201.0,62647.0
Italia,HOTELLIKE,Bulgaria,2008-02-01,5035.0,18156.0
Italia,HOTELLIKE,Canada,2008-02-01,13337.0,40866.0
