Region,Infrastructure,ResidenceCountry,Date,Arrivals,Attendance
Abruzzo,HOTELLIKE,Italia,2008,1205426.0,4479655.0
Abruzzo,HOTELLIKE,Paesi esteri,2008,149736.0,643212.0
Abruzzo,OTHER,Italia,2008,228036.0,2060178.0
Abruzzo,OTHER,Paesi esteri,2008,43151.0,377431.0
Chieti,HOTELLIKE,Italia,2008,225852.0,703217.0
Chieti,HOTELLIKE,Paesi esteri,2008,29299.0,101551.0
Chieti,OTHER,Italia,2008,39643.0,403541.0
Chieti,OTHER,Paesi esteri,2008,4047.0,36552.0
L'Aquila,HOTELLIKE,Italia,2008,378845.0,1168825.0
L'Aquila,HOTELLIKE,Paesi esteri,2008,29072.0,98728.0
L'Aquila,OTHER,Italia,2008,51988.0,166731.0
L'Aquila,OTHER,Paesi esteri,2008,6050.0,21467.0
Pescara,HOTELLIKE,Italia,2008,279686.0,863142.0
Pescara,HOTELLIKE,Paesi esteri,2008,43770.0,151933.0
Pescara,OTHER,Italia,2008,11384.0,49842.0
Pescara,OTHER,Paesi esteri,2008,2797.0,25027.0
Teramo,HOTELLIKE,Italia,2008,321043.0,1744471.0
Teramo,HOTELLIKE,Paesi esteri,2008,47595.0,291000.0
Teramo,OTHER,Italia,2008,125021.0,1440064.0
Teramo,OTHER,Paesi esteri,2008,30257.0,294385.0
Abruzzo,HOTELLIKE,Italia,2009,999324.0,4095067.0
Abruzzo,HOTELLIKE,Paesi esteri,2009,115059.0,553610.0
Abruzzo,OTHER,Italia,2009,191987.0,1727042.0
Abruzzo,OTHER,Paesi esteri,2009,33589.0,278208.0
Chieti,HOTELLIKE,Italia,2009,204774.0,685421.0
Chieti,HOTELLIKE,Paesi esteri,2009,25378.0,89397.0
Chieti,OTHER,Italia,2009,38084.0,374340.0
Chieti,OTHER,Paesi esteri,2009,3864.0,27164.0
L'Aquila,HOTELLIKE,Italia,2009,305881.0,1179240.0
L'Aquila,HOTELLIKE,Paesi esteri,2009,16055.0,69130.0
L'Aquila,OTHER,Italia,2009,33789.0,121623.0
L'Aquila,OTHER,Paesi esteri,2009,3174.0,11247.0
Pescara,HOTELLIKE,Italia,2009,237816.0,714931.0
Pescara,HOTELLIKE,Paesi esteri,2009,37209.0,138458.0
Pescara,OTHER,Italia,2009,12582.0,51831.0
Pescara,OTHER,Paesi esteri,2009,2327.0,18130.0
Teramo,HOTELLIKE,Italia,2009,250853.0,1515475.0
Teramo,HOTELLIKE,Paesi esteri,2009,36417.0,256625.0
Teramo,OTHER,Italia,2009,107532.0,1179248.0
Teramo,OTHER,Paesi esteri,2009,24224.0,221667.0
Abruzzo,HOTELLIKE,Italia,2010,1087507.0,4345351.0
Abruzzo,HOTELLIKE,Paesi esteri,2010,131315.0,601757.0
Abruzzo,OTHER,Italia,2010,227392.0,2035716.0
Abruzzo,OTHER,Paesi esteri,2010,38906.0,324127.0
Chieti,HOTELLIKE,Italia,2010,228959.0,680163.0
Chieti,HOTELLIKE,Paesi esteri,2010,29366.0,90634.0
Chieti,OTHER,Italia,2010,42616.0,467326.0
Chieti,OTHER,Paesi esteri,2010,4013.0,25624.0
L'Aquila,HOTELLIKE,Italia,2010,295911.0,1052041.0
L'Aquila,HOTELLIKE,Paesi esteri,2010,19729.0,71999.0
L'Aquila,OTHER,Italia,2010,45850.0,148000.0
L'Aquila,OTHER,Paesi esteri,2010,5340.0,19758.0
Pescara,HOTELLIKE,Italia,2010,262123.0,835405.0
Pescara,HOTELLIKE,Paesi esteri,2010,40396.0,152288.0
Pescara,OTHER,Italia,2010,13204.0,54598.0
Pescara,OTHER,Paesi esteri,2010,2563.0,22164.0
Teramo,HOTELLIKE,Italia,2010,300514.0,1777742.0
Teramo,HOTELLIKE,Paesi esteri,2010,41824.0,286836.0
Teramo,OTHER,Italia,2010,125722.0,1365792.0
Teramo,OTHER,Paesi esteri,2010,26990.0,256581.0
Abruzzo,HOTELLIKE,Italia,2011,1137698.0,4287357.0
Abruzzo,HOTELLIKE,Paesi esteri,2011,152999.0,681775.0
Abruzzo,OTHER,Italia,2011,247865.0,2125568.0
Abruzzo,OTHER,Paesi esteri,2011,42336.0,327737.0
Chieti,HOTELLIKE,Italia,2011,235148.0,667147.0
Chieti,HOTELLIKE,Paesi esteri,2011,31985.0,108203.0
Chieti,OTHER,Italia,2011,46772.0,486123.0
Chieti,OTHER,Paesi esteri,2011,4786.0,31712.0
L'Aquila,HOTELLIKE,Italia,2011,302537.0,967914.0
L'Aquila,HOTELLIKE,Paesi esteri,2011,23067.0,84205.0
L'Aquila,OTHER,Italia,2011,55248.0,170061.0
L'Aquila,OTHER,Paesi esteri,2011,7342.0,25072.0
Pescara,HOTELLIKE,Italia,2011,275541.0,865960.0
Pescara,HOTELLIKE,Paesi esteri,2011,50565.0,183815.0
Pescara,OTHER,Italia,2011,13231.0,50213.0
Pescara,OTHER,Paesi esteri,2011,2680.0,24964.0
Teramo,HOTELLIKE,Italia,2011,324472.0,1786336.0
Teramo,HOTELLIKE,Paesi esteri,2011,47382.0,305552.0
Teramo,OTHER,Italia,2011,132614.0,1419171.0
Teramo,OTHER,Paesi esteri,2011,27528.0,245989.0
Abruzzo,HOTELLIKE,Italia,2012,1125445.0,4164827.0
Abruzzo,HOTELLIKE,Paesi esteri,2012,146867.0,671980.0
Abruzzo,OTHER,Italia,2012,261157.0,2057202.0
Abruzzo,OTHER,Paesi esteri,2012,44941.0,358817.0
Chieti,HOTELLIKE,Italia,2012,224108.0,627703.0
Chieti,HOTELLIKE,Paesi esteri,2012,28838.0,89562.0
Chieti,OTHER,Italia,2012,46904.0,401239.0
Chieti,OTHER,Paesi esteri,2012,4464.0,30165.0
L'Aquila,HOTELLIKE,Italia,2012,309757.0,974562.0
L'Aquila,HOTELLIKE,Paesi esteri,2012,21952.0,79440.0
L'Aquila,OTHER,Italia,2012,65338.0,200770.0
L'Aquila,OTHER,Paesi esteri,2012,8173.0,32841.0
Pescara,HOTELLIKE,Italia,2012,269273.0,839782.0
Pescara,HOTELLIKE,Paesi esteri,2012,50117.0,200539.0
Pescara,OTHER,Italia,2012,14751.0,43846.0
Pescara,OTHER,Paesi esteri,2012,3079.0,27169.0
Teramo,HOTELLIKE,Italia,2012,322307.0,1722780.0
Teramo,HOTELLIKE,Paesi esteri,2012,45960.0,302439.0
Teramo,OTHER,Italia,2012,134164.0,1411347.0
Teramo,OTHER,Paesi esteri,2012,29225.0,268642.0
