"ITTER107","Territorio","TIPO_DATO7","Indicatori","CORREZ","Correzione","TIPO_ALLOGGIO2","Tipologia di esercizio","ATECO_2007","Ateco 2007","ISO","Paese di residenza dei clienti","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"ITF1","Abruzzo","AR","arrivi ","N","dati grezzi","HOTELLIKE","esercizi alberghieri","551_553","alberghi e strutture simili, alloggi per vacanze e altre strutture per brevi soggiorni, aree di campeggio e aree attrezzate per camper e roulotte","WRL_X_ITA","Paesi esteri","2008","2008",149736,,
"ITF1","Abruzzo","AR","arrivi ","N","dati grezzi","HOTELLIKE","esercizi alberghieri","551_553","alberghi e strutture simili, alloggi per vacanze e altre strutture per brevi soggiorni, aree di campeggio e aree attrezzate per camper e roulotte","WRL_X_ITA","Paesi esteri","2008-01","Gen-2008",5346,,
"ITF1","Abruzzo","AR","arrivi ","N","dati grezzi","HOTELLIKE","esercizi alberghieri","551_553","alberghi e strutture simili, alloggi per vacanze e altre strutture per brevi soggiorni, aree di campeggio e aree attrezzate per camper e roulotte","WRL_X_ITA","Paesi esteri","2008-02","Feb-2008",6621,,
"ITF1","Abruzzo","AR","arrivi ","N","dati grezzi","HOTELLIKE","esercizi alberghieri","551_553","alberghi e strutture simili, alloggi per vacanze e altre strutture per brevi soggiorni, aree di campeggio e aree attrezzate per camper e roulotte","WRL_X_ITA","Paesi esteri","2008-03","Mar-2008",7601,,
"ITF1","Abruzzo","AR","arrivi ","N","dati grezzi","HOTELLIKE","esercizi alberghieri","551_553","alberghi e strutture simili, alloggi per vacanze e altre strutture per brevi soggiorni, aree di campeggio e aree attrezzate per camper e roulotte","WRL_X_ITA","Paesi esteri","2008-04","Apr-2008",9962,,
"ITF1","Abruzzo","AR","arrivi ","N","dati grezzi","HOTELLIKE","esercizi alberghieri","551_553","alberghi e strutture simili, alloggi per vacanze e altre strutture per brevi soggiorni, aree di campeggio e aree attrezzate per camper e roulotte","WRL_X_ITA","Paesi esteri","2008-05","Mag-2008",17054,,
"ITF1","Abruzzo","AR","arrivi ","N","dati grezzi","HOTELLIKE","esercizi alberghieri","551_553","alberghi e strutture simili, alloggi per vacanze e altre strutture per brevi soggiorni, aree di campeggio e aree attrezzate per camper e roulotte","WRL_X_ITA","Paesi esteri","2008-06","Giu-2008",18081,,
"ITF1","Abruzzo","AR","arrivi ","N","dati grezzi","HOTELLIKE","esercizi alberghieri","551_553","alberghi e strutture simili, alloggi per vacanze e altre strutture per brevi soggiorni, aree di campeggio e aree attrezzate per camper e roulotte","WRL_X_ITA","Paesi esteri","2008-07","Lug-2008",26349,,
"ITF1","Abruzzo","AR","arrivi ","N","dati grezzi","HOTELLIKE","esercizi alberghieri","551_553","alberghi e strutture simili, alloggi per vacanze e altre strutture per brevi soggiorni, aree di campeggio e aree attrezzate per camper e roulotte","WRL_X_ITA","Paesi esteri","2008-08","Ago-2008",17950,,
"ITF1","Abruzzo","AR","arrivi ","N","dati grezzi","HOTELLIKE","esercizi alberghieri","551_553","alberghi e strutture simili, alloggi per vacanze e altre strutture per brevi soggiorni, aree di campeggio e aree attrezzate per camper e roulotte","WRL_X_ITA","Paesi esteri","2008-09","Set-2008",17933,,
"ITF1","Abruzzo","AR","arrivi ","N","dati grezzi","HOTELLIKE","esercizi alberghieri","551_553","alberghi e strutture simili, alloggi per vacanze e altre strutture per brevi soggiorni, aree di campeggio e aree attrezzate per camper e roulotte","WRL_X_ITA","Paesi esteri","2008-10","Ott-2008",11232,,
"ITF1","Abruzzo","AR","arrivi ","N","dati grezzi","HOTELLIKE","esercizi alberghieri","551_553","alberghi e strutture simili, alloggi per vacanze e altre strutture per brevi soggiorni, aree di campeggio e aree attrezzate per camper e roulotte","WRL_X_ITA","Paesi esteri","2008-11","Nov-2008",6501,,
"ITF1","Abruzzo","AR","arrivi ","N","dati grezzi","HOTELLIKE","esercizi alberghieri","551_553","alberghi e strutture simili, alloggi per vacanze e altre strutture per brevi soggiorni, aree di campeggio e aree attrezzate per camper e roulotte","WRL_X_ITA","Paesi esteri","2008-12","Dic-2008",5106,,
"ITF1","Abruzzo","AR","arrivi ","N","dati grezzi","HOTELLIKE","esercizi alberghieri","551_553","alberghi e strutture simili, alloggi per vacanze e altre strutture per brevi soggiorni, aree di campeggio e aree attrezzate per camper e roulotte","WRL_X_ITA","Paesi esteri","2009","2009",115059,,
"ITF1","Abruzzo","AR","arrivi ","N","dati grezzi","HOTELLIKE","esercizi alberghieri","551_553","alberghi e strutture simili, alloggi per vacanze e altre strutture per brevi soggiorni, aree di campeggio e aree attrezzate per camper e roulotte","WRL_X_ITA","Paesi esteri","2009-01","Gen-2009",4467,,
"ITF1","Abruzzo","AR","arrivi ","N","dati grezzi","HOTELLIKE","esercizi alberghieri","551_553","alberghi e strutture simili, alloggi per vacanze e altre strutture per brevi soggiorni, aree di campeggio e aree attrezzate per camper e roulotte","WRL_X_ITA","Paesi esteri","2009-02","Feb-2009",4637,,
"ITF1","Abruzzo","AR","arrivi ","N","dati grezzi","HOTELLIKE","esercizi alberghieri","551_553","alberghi e strutture simili, alloggi per vacanze e altre strutture per brevi soggiorni, aree di campeggio e aree attrezzate per camper e roulotte","WRL_X_ITA","Paesi esteri","2009-03","Mar-2009",5658,,
"ITF1","Abruzzo","AR","arrivi ","N","dati grezzi","HOTELLIKE","esercizi alberghieri","551_553","alberghi e strutture simili, alloggi per vacanze e altre strutture per brevi soggiorni, aree di campeggio e aree attrezzate per camper e roulotte","WRL_X_ITA","Paesi esteri","2009-04","Apr-2009",6786,,
"ITF1","Abruzzo","AR","arrivi ","N","dati grezzi","HOTELLIKE","esercizi alberghieri","551_553","alberghi e strutture simili, alloggi per vacanze e altre strutture per brevi soggiorni, aree di campeggio e aree attrezzate per camper e roulotte","WRL_X_ITA","Paesi esteri","2009-05","Mag-2009",10583,,
